frame,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
30,1876.994384765625,494.4026184082031,1773.097412109375,481.1390075683594,1807.54541015625,497.26611328125,1785.307373046875,486.91845703125
31,1878.2593994140625,494.6607971191406,1773.3193359375,482.60333251953125,1809.7899169921875,498.0553283691406,1785.6207275390625,489.5502624511719
32,1876.8284912109375,494.62493896484375,1775.1741943359375,484.3636169433594,1808.7235107421875,498.01300048828125,1786.5413818359375,493.07861328125
33,1877.597900390625,494.4082946777344,1775.465087890625,485.8138732910156,1810.0218505859375,498.8155517578125,1790.54052734375,494.9079895019531
34,1877.239501953125,494.64013671875,1776.4822998046875,489.13177490234375,1808.6024169921875,498.53643798828125,1795.297119140625,499.5382995605469
35,1876.056884765625,494.40362548828125,1776.2127685546875,489.43048095703125,1809.702392578125,499.9061279296875,1800.5482177734375,500.8350524902344
36,1870.80615234375,496.63616943359375,1775.5697021484375,491.185546875,1806.2344970703125,498.4289245605469,1794.290771484375,499.3785095214844
37,1872.236572265625,498.36932373046875,1772.2962646484375,490.12713623046875,1812.41357421875,504.42535400390625,1795.0433349609375,499.26947021484375
38,1874.422607421875,498.6007080078125,1772.8660888671875,490.5370788574219,1812.530029296875,505.13958740234375,1795.4095458984375,501.30023193359375
39,1874.794921875,499.7721862792969,1772.949951171875,490.5370788574219,1811.2490234375,506.8465881347656,1786.1602783203125,501.8395690917969
40,1880.0137939453125,502.19696044921875,1768.2789306640625,489.6219177246094,1815.8072509765625,509.81683349609375,1781.67333984375,504.736083984375
41,1880.674560546875,504.0765686035156,1769.2548828125,490.0436096191406,1814.82470703125,510.7148742675781,1778.3404541015625,503.252685546875
42,1882.625244140625,505.9720458984375,1768.937255859375,491.1867370605469,1818.965087890625,514.1668701171875,1778.352294921875,502.7706298828125
43,1875.4124755859375,503.43603515625,1774.3311767578125,489.8387451171875,1813.2821044921875,514.7222900390625,1785.3648681640625,500.03515625
44,1875.3095703125,503.5602111816406,1774.6385498046875,489.827392578125,1814.83740234375,517.1640625,1783.42236328125,501.21563720703125
45,1875.6427001953125,504.16204833984375,1775.923828125,489.6491394042969,1813.6865234375,522.4134521484375,1783.136474609375,504.6751403808594
46,1875.5863037109375,505.4377746582031,1776.9246826171875,489.5150146484375,1812.01953125,525.00732421875,1784.270263671875,502.44189453125
